epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,160.008,0.79885,1.2028,0.8587,0.00129,0.16667,0.05554,0.01717,1.18225,4.70206,1.00478,0.000990365,0.000990365,0.000990365
43,163.575,0.84605,1.30047,0.8808,0.00132,0.16667,0.05555,0.01685,1.21809,4.69293,1.00866,0.000973861,0.000973861,0.000973861
44,167.804,0.83146,1.10189,0.89511,0.00131,0.16667,0.05555,0.01716,1.18003,4.67615,1.01899,0.000957358,0.000957358,0.000957358
45,171.662,0.78608,1.1162,0.87888,0.00131,0.16667,0.05555,0.01716,1.18003,4.67615,1.01899,0.000940855,0.000940855,0.000940855
46,176.062,0.81498,1.17576,0.86794,0.00131,0.16667,0.00321,0.00115,1.13296,4.73397,1.02709,0.000924352,0.000924352,0.000924352
47,179.866,0.78486,1.15256,0.87672,0.00131,0.16667,0.00182,0.00106,1.03977,4.73646,1.00417,0.000907848,0.000907848,0.000907848
48,184.697,0.79482,1.15813,0.86318,0.00134,0.16667,0.00192,0.00125,0.99391,4.80095,0.98023,0.000891345,0.000891345,0.000891345
49,187.577,0.82592,1.19788,0.87823,0.00134,0.16667,0.00192,0.00125,0.99391,4.80095,0.98023,0.000874842,0.000874842,0.000874842
50,192.547,0.75445,1.24321,0.84039,0.00128,0.16667,0.00212,0.00113,1.01691,4.85112,0.96359,0.000858338,0.000858338,0.000858338
51,197.318,0.68407,1.08872,0.87776,0.00129,0.16667,0.0026,0.00112,1.04875,4.88581,0.99173,0.000841835,0.000841835,0.000841835
52,202.618,0.84016,1.17978,0.89657,0.00129,0.16667,0.00391,0.00165,1.12194,5.01669,0.99183,0.000825332,0.000825332,0.000825332
53,206.099,0.88891,1.18083,0.86922,0.00129,0.16667,0.00391,0.00165,1.12194,5.01669,0.99183,0.000808828,0.000808828,0.000808828
54,211.232,0.78629,1.10687,0.87226,0.00128,0.16667,0.00525,0.002,1.1275,4.95967,0.98291,0.000792325,0.000792325,0.000792325
55,216.147,0.81927,1.08305,0.85178,0.00131,0.16667,0.00742,0.00279,1.14343,5.00207,0.96678,0.000775822,0.000775822,0.000775822
56,220.977,0.84126,1.11249,0.87857,0.00133,0.16667,0.00716,0.00257,1.23342,5.03965,0.97535,0.000759318,0.000759318,0.000759318
57,224.334,0.75876,1.07682,0.87491,0.00133,0.16667,0.00716,0.00257,1.23342,5.03965,0.97535,0.000742815,0.000742815,0.000742815
58,228.536,0.6999,1.10553,0.87434,0.00131,0.16667,0.00742,0.002,1.21368,5.04571,1.00146,0.000726312,0.000726312,0.000726312
59,234.135,0.74563,1.10372,0.84782,0.00133,0.16667,0.00972,0.00243,1.18898,5.05056,1.00365,0.000709809,0.000709809,0.000709809
60,238.985,0.82607,1.1434,0.85585,0.00131,0.16667,0.00772,0.00176,1.1142,5.13682,0.98651,0.000693305,0.000693305,0.000693305
61,242.623,0.79581,1.12652,0.90142,0.00131,0.16667,0.00772,0.00176,1.1142,5.13682,0.98651,0.000676802,0.000676802,0.000676802
62,247.814,0.79522,1.16369,0.86629,0.0013,0.16667,0.00339,0.00169,1.18027,5.11498,1.03569,0.000660299,0.000660299,0.000660299
63,252.338,0.7326,1.01626,0.80936,0.0013,0.16667,0.00137,0.00055,1.20609,5.14262,1.06082,0.000643795,0.000643795,0.000643795
64,257.633,0.71821,0.97207,0.87017,0.00128,0.16667,0.00116,0.00035,1.06476,5.30493,0.95348,0.000627292,0.000627292,0.000627292
65,260.966,0.74562,1.06004,0.88747,0.00128,0.16667,0.00116,0.00035,1.06476,5.30493,0.95348,0.000610789,0.000610789,0.000610789
66,265.466,0.64775,0.99462,0.83355,0.00127,0.16667,0.00111,0.00022,1.07346,5.27758,0.94262,0.000594286,0.000594286,0.000594286
67,271.052,0.6554,0.90427,0.8417,0.00128,0.16667,0.00087,0.00017,1.14326,5.27823,1.0147,0.000577782,0.000577782,0.000577782
68,276.079,0.71696,0.98453,0.87566,0.00126,0.16667,0.0009,0.00017,1.14107,5.34238,1.0724,0.000561279,0.000561279,0.000561279
69,278.608,0.64385,0.95788,0.84683,0.00126,0.16667,0.0009,0.00017,1.14107,5.34238,1.0724,0.000544776,0.000544776,0.000544776
70,282.56,0.62193,0.97377,0.84889,0.00127,0.16667,0.00092,0.00017,1.08265,5.34869,1.04812,0.000528272,0.000528272,0.000528272
71,287.23,0.67281,0.9019,0.85276,0.00127,0.16667,0.00078,0.00015,1.0681,5.26183,1.10152,0.000511769,0.000511769,0.000511769
72,292.471,0.72193,0.99991,0.91152,0.00128,0.16667,0.00078,0.00023,1.09667,5.20612,1.09822,0.000495266,0.000495266,0.000495266
73,296.465,0.65159,0.97176,0.85535,0.00128,0.16667,0.00078,0.00023,1.09667,5.20612,1.09822,0.000478762,0.000478762,0.000478762
74,301.807,0.62277,1.05587,0.85193,0.00126,0.16667,0.00077,0.0003,1.0946,5.14456,1.12653,0.000462259,0.000462259,0.000462259
75,306.37,0.66706,0.99604,0.85144,0.00127,0.16667,0.00077,0.00031,1.09522,5.08079,1.16416,0.000445756,0.000445756,0.000445756
76,311.183,0.71943,0.98951,0.85846,0.00126,0.16667,0.00075,0.00037,1.0451,5.07551,1.1114,0.000429253,0.000429253,0.000429253
77,315.176,0.7288,0.96242,0.87565,0.00126,0.16667,0.00075,0.00037,1.0451,5.07551,1.1114,0.000412749,0.000412749,0.000412749
78,319.561,0.64443,0.9907,0.83773,0.00127,0.16667,0.00084,0.00017,0.95957,5.15876,1.01823,0.000396246,0.000396246,0.000396246
79,323.725,0.7006,0.93492,0.85254,0.00127,0.16667,0.00082,0.00025,0.97537,5.17484,1.02021,0.000379743,0.000379743,0.000379743
80,328.524,0.63045,0.95632,0.82659,0.00125,0.16667,0.0008,0.00024,0.99495,5.21111,1.02408,0.000363239,0.000363239,0.000363239
81,332.669,0.60284,0.98106,0.86832,0.00125,0.16667,0.0008,0.00024,0.99495,5.21111,1.02408,0.000346736,0.000346736,0.000346736
82,336.457,0.66533,0.89265,0.84349,0.00124,0.16667,0.00077,0.00039,1.02728,5.28723,1.02784,0.000330233,0.000330233,0.000330233
83,342.589,0.59475,0.91751,0.86005,0.00125,0.16667,0.00076,0.00038,1.05006,5.33643,1.05711,0.000313729,0.000313729,0.000313729
84,346.569,0.57156,0.85228,0.81843,0.00123,0.16667,0.00076,0.00038,1.08507,5.30612,1.07957,0.000297226,0.000297226,0.000297226
85,350.265,0.59131,0.90535,0.83712,0.00123,0.16667,0.00076,0.00038,1.08507,5.30612,1.07957,0.000280723,0.000280723,0.000280723
86,355.227,0.52133,0.86864,0.79926,0.00122,0.16667,0.00077,0.00039,1.11414,5.28274,1.07509,0.00026422,0.00026422,0.00026422
87,359.526,0.60358,0.84291,0.79959,0.00122,0.16667,0.00081,0.00024,1.10889,5.22343,1.10468,0.000247716,0.000247716,0.000247716
88,364.343,0.58399,0.85339,0.82218,0.00122,0.16667,0.00089,0.00027,1.09048,5.18796,1.11246,0.000231213,0.000231213,0.000231213
89,366.968,0.59597,0.84179,0.84535,0.00122,0.16667,0.00089,0.00027,1.09048,5.18796,1.11246,0.00021471,0.00021471,0.00021471
90,371.583,0.61159,0.9013,0.84802,0.00126,0.16667,0.00096,0.00029,1.02959,5.25438,1.06993,0.000198206,0.000198206,0.000198206
91,379.258,0.55035,1.08491,0.81442,0.00126,0.16667,0.001,0.00038,1.02868,5.27049,1.06734,0.000181703,0.000181703,0.000181703
92,384.888,0.50708,1.04249,0.83479,0.00126,0.16667,0.00107,0.00038,1.05939,5.18644,1.07392,0.0001652,0.0001652,0.0001652
93,388.873,0.65749,1.16072,0.82151,0.00126,0.16667,0.00107,0.00038,1.05939,5.18644,1.07392,0.000148696,0.000148696,0.000148696
94,393.995,0.49043,1.00269,0.80925,0.00126,0.16667,0.00113,0.00043,1.04292,5.1489,1.04158,0.000132193,0.000132193,0.000132193
95,397.75,0.56649,1.08244,0.81212,0.00128,0.16667,0.00117,0.00044,0.99574,5.15255,0.97502,0.00011569,0.00011569,0.00011569
96,403.124,0.49907,1.01843,0.83914,0.0013,0.16667,0.00144,0.00063,0.94983,5.14614,0.93067,9.91865e-05,9.91865e-05,9.91865e-05
97,408.298,0.45737,1.02368,0.78874,0.0013,0.16667,0.00144,0.00063,0.94983,5.14614,0.93067,8.26832e-05,8.26832e-05,8.26832e-05
98,413.248,0.52647,1.08238,0.81205,0.00129,0.16667,0.00209,0.0005,0.91012,5.14424,0.91617,6.61799e-05,6.61799e-05,6.61799e-05
99,418.07,0.49537,1.01972,0.79757,0.00129,0.16667,0.00274,0.00075,0.91121,5.1258,0.91306,4.96766e-05,4.96766e-05,4.96766e-05
100,424.359,0.49754,1.04865,0.80283,0.00132,0.16667,0.00281,0.00077,0.91347,5.11391,0.92989,3.31733e-05,3.31733e-05,3.31733e-05
